provider,instance,bench_key,bench_name,unit,avg,min,max,1st_quartile,2nd_quartile,3rd_quartile,iqr,std,cpr,deg,std_perc,grad_std_perc,pqi
egi,T2-1,4f9036957f18874f519316848e75bed92f7ec50a,NET 2,MiB/s,4.451503222836096,1.5833333333333333,5.2299999999999995,4.1325,4.693333333333334,4.890833333333334,0.7583333333333337,0.6231105388695268,0.03202154258111125,0.05441215591382716,0.13997755537342665,0.08478558869367434,0.09305843332697604
egi,T3-1,4f9036957f18874f519316848e75bed92f7ec50a,NET 2,MiB/s,4.471703499079189,1.4166666666666667,5.256666666666667,4.1825,4.71,4.9,0.7175000000000002,0.6262393326280921,0.02795534185702196,0.05199761857106821,0.14004491414894724,0.08329752996757059,0.09178002089586201
egi,T3-2,4f9036957f18874f519316848e75bed92f7ec50a,NET 2,MiB/s,4.436915285451197,1.5933333333333335,5.183333333333334,4.108333333333334,4.6433333333333335,4.886666666666667,0.7783333333333324,0.6016062265526259,0.028174529365008544,0.05378330335691578,0.135591100538997,0.07656376708257392,0.0886460569928289
egi,T4-1,4f9036957f18874f519316848e75bed92f7ec50a,NET 2,MiB/s,4.402334254143646,0.37666666666666665,5.1933333333333325,4.093333333333334,4.640000000000001,4.8933333333333335,0.7999999999999998,0.6953864735704779,0.05679168949169985,0.05958444338371663,0.1579585813857622,0.09500933486651318,0.104184119878664
egi,T1-1,4fbaaef78c368efc3613e57f57b559876121c0ef,MEM LAT,ms,0.3544705340699816,0.28,0.41,0.3333333333333333,0.35666666666666663,0.3775,0.04416666666666669,0.029400739180375324,0.025263823904235726,0.033416512556429266,0.08294268875553663,0.058578321613230996,0.0583125076417323
egi,T1-2,4fbaaef78c368efc3613e57f57b559876121c0ef,MEM LAT,ms,0.09172651933701657,0.06666666666666667,0.13333333333333333,0.08,0.09000000000000001,0.10000000000000002,0.020000000000000018,0.014177282424303349,0.006537532486187845,0.06287528809119523,0.1545603444540826,0.1093751621897227,0.10893693157833349
egi,T2-1,4fbaaef78c368efc3613e57f57b559876121c0ef,MEM LAT,ms,0.11203038674033149,0.08666666666666667,0.1366666666666667,0.10666666666666667,0.11333333333333333,0.11666666666666665,0.009999999999999981,0.007290309091040641,0.01596925944751381,0.027134841550467005,0.06507439011112594,0.0462575208912917,0.04615558418429488
egi,T3-1,4fbaaef78c368efc3613e57f57b559876121c0ef,MEM LAT,ms,0.0921132596685083,0.06666666666666667,0.13333333333333333,0.08,0.09000000000000001,0.10333333333333333,0.02333333333333333,0.014024284709215625,0.011514894364640885,0.06144955619124459,0.15225044428658138,0.10697580216237741,0.10689193421340112
egi,T3-2,4fbaaef78c368efc3613e57f57b559876121c0ef,MEM LAT,ms,0.3348480662983425,0.2733333333333334,0.4000000000000001,0.31666666666666665,0.3333333333333333,0.35333333333333333,0.03666666666666668,0.027125914033944397,0.041858687071823206,0.03316107879178197,0.08100961828394071,0.056251737200545944,0.05680747809208954
egi,T4-1,4fbaaef78c368efc3613e57f57b559876121c0ef,MEM LAT,ms,0.49958563535911604,0.44333333333333336,0.59,0.48666666666666664,0.5,0.51,0.023333333333333373,0.01888664273034598,0.12490440220994475,0.014291271369952964,0.03780461525233754,0.025603078080674503,0.025899654900988334
egi,T1-1,4ff72d794db9bfc16f363cb21933f7860dc2a796,MEM OPS,ops/s,5687.679760589319,4828.200000000001,7031.213333333333,5226.093333333333,5677.026666666667,6032.806666666666,806.7133333333331,507.12441801047794,1.2530944603079284e-05,0.03569037506024279,0.08916191476257326,0.0630721439355912,0.06264147791946909
egi,T1-2,4ff72d794db9bfc16f363cb21933f7860dc2a796,MEM OPS,ops/s,22582.27776703499,15077.023333333333,28801.333333333332,20322.4225,22953.004999999997,24568.74166666667,4246.319166666668,3020.53982321479,3.1561032387990983e-06,0.054999068824074744,0.13375709281302411,0.09502813527194864,0.09459476563634915
egi,T2-1,4ff72d794db9bfc16f363cb21933f7860dc2a796,MEM OPS,ops/s,34973.98372928177,29415.070000000003,43876.189999999995,32853.5675,34519.030000000006,36798.855833333335,3945.2883333333375,2542.9867684052997,4.075715283205094e-06,0.03070297672149196,0.0727108123595368,0.051997462819783694,0.05180375063360415
egi,T3-1,4ff72d794db9bfc16f363cb21933f7860dc2a796,MEM OPS,ops/s,22536.220750460405,15069.726666666667,28774.546666666665,20331.510833333334,22897.391666666666,24436.440833333338,4104.930000000004,2996.780632357041,5.5469815185159715e-06,0.054547647444305736,0.1329761837860866,0.09346143487858496,0.0936617553696591
